Indicator_short,Year,Mozambique,Sub-Saharan Africa,Difference,pct_change_moz,pct_change_ssa,Complete_case,Trend
Water,2006,31.9468315696643,50.5591439281462,-18.612312358481898,5.119315773616768,1.9235689618769012,TRUE,Increasing
Water,2007,33.5293144441132,51.4951487588318,-17.965834314718606,4.953489271692194,1.851306723104012,TRUE,Increasing
Water,2008,35.2815210331491,52.4814398230695,-17.199918789920403,5.225894469021982,1.9153086999647537,TRUE,Increasing
Water,2017,52.2485430306556,61.1311007780947,-8.882557747439101,48.09039264935593,16.481371288946665,TRUE,Increasing
Water,2018,54.2431367591977,62.0801554857768,-7.837018726579103,3.8175107148381517,1.5524907871807527,TRUE,Increasing
Water,2019,56.2587719909351,63.0055874525883,-6.746815461653199,3.715926755278632,1.4907049758010473,TRUE,Increasing
Water,2020,58.2943448564578,63.9245626303684,-5.630217773910601,3.6182319547442034,1.4585613989737445,TRUE,Increasing
Water,2021,60.34998629028,64.8428084389427,-4.492822148662697,3.5263136396574164,1.4364522349317888,TRUE,Increasing
Water,2022,62.4237541540672,65.7179569523529,-3.29420279828571,3.4362358490232148,1.3496462205739705,TRUE,Increasing
Water,2023,64.5157588929919,66.6647623532201,-2.149003460228201,3.351295940582895,1.4407103397228977,TRUE,Increasing
Water,2024,66.6252441342671,67.5334070073573,-0.9081628730901912,3.2697208828839406,1.3030042011321161,TRUE,Increasing
Water,2025,NA,NA,NA,NA,NA,FALSE,Increasing
